ConfigIndex,RunIndex,N,StartNode,InitialCost,SolveTime,Improved,Improvement,ObjectiveValue,AvgTime,AvgBestCost,ImprovementCount
3,,,,,,,,0.000576154,64.2453,10

3,1,11,1,98.306,0.000751125,1,34.8399,64.0563,,
3,2,11,9,103.595,0.000489458,1,36.3401,65.9484,,
3,3,11,9,91.6786,0.000779375,1,28.2882,65.7444,,
3,4,11,0,72.917,0.000501042,1,13.3784,63.1619,,
3,5,11,6,111.357,0.000729125,1,45.0535,61.1869,,
3,6,11,3,75.2938,0.000464083,1,12.4265,65.9374,,
3,7,11,2,85.0931,0.000422875,1,24.4468,64.2906,,
3,8,11,4,106.107,0.000444167,1,39.8039,63.8722,,
3,9,11,2,106.738,0.000659042,1,41.0886,62.8807,,
3,10,11,6,110.56,0.00080575,1,45.062,60.7393,,
3,,,,,,,,0.000604604,63.7818,10

4,1,11,5,112.678,0.00110042,1,49.7734,56.5942,,
4,2,11,6,107.399,0.00122212,1,47.3049,56.5942,,
4,3,11,10,83.2021,0.000744292,1,22.4068,64.5591,,
4,4,11,7,119.755,0.00037625,1,45.2286,65.5916,,
4,5,11,0,96.7249,0.00112587,1,41.4895,56.5942,,
4,6,11,5,104.277,0.000497584,1,39.4649,63.1245,,
4,7,11,1,73.5019,0.00103871,1,23.003,56.5942,,
4,8,11,4,104.431,0.000384292,1,38.1429,64.5978,,
4,9,11,1,114.351,0.000507875,1,43.6785,64.4041,,
4,10,11,7,108.007,0.000387375,1,38.5773,66.3407,,
4,,,,,,,,0.000738479,61.4995,10

4,1,11,4,80.0658,0.000460958,1,18.8861,64.9445,,
4,2,11,4,109.197,0.000351958,1,39.7498,65.7916,,
4,3,11,4,108.417,0.000436375,1,40.3866,64.6311,,
4,4,11,8,108.034,0.0006875,1,40.2004,64.6037,,
4,5,11,3,112.996,0.000772625,1,42.4181,65.0651,,
4,6,11,8,113.277,0.000690917,1,43.5023,63.9988,,
4,7,11,4,112.478,0.000631208,1,44.0006,62.9869,,
4,8,11,3,108.474,0.000479416,1,43.6901,61.0814,,
4,9,11,2,119.524,0.000408916,1,45.0391,65.6913,,
4,10,11,5,117.853,0.000741709,1,42.9827,67.1967,,
4,,,,,,,,0.000566158,64.5991,10

4,1,11,5,97.7833,0.000687084,1,34.3277,64.2166,,
4,2,11,9,117.655,0.000680584,1,44.2504,65.5925,,
4,3,11,2,117.573,0.000830542,1,44.5619,65.18,,
4,4,11,8,98.0757,0.000640541,1,34.659,64.0837,,
4,5,11,3,78.0178,0.0006795,1,21.5702,61.1891,,
4,6,11,8,114.448,0.000595292,1,41.4204,67.0433,,
4,7,11,10,103.354,0.000474,1,34.598,67.5954,,
4,8,11,6,117.879,0.000588208,1,45.2768,64.5071,,
4,9,11,9,101.643,0.000575542,1,32.3767,68.7344,,
4,10,11,7,106.105,0.000553667,1,42.636,60.8658,,
4,,,,,,,,0.000630496,64.9008,10

5,1,11,6,99.8466,0.00035375,1,32.9131,66.9839,,
5,2,11,3,107.869,0.00114021,1,46.8688,57.3122,,
5,3,11,3,101.149,0.00106154,1,43.3387,57.3122,,
5,4,11,1,111.979,0.000541583,1,43.8989,62.8216,,
5,5,11,4,104.705,0.00110458,1,45.2633,57.3122,,
5,6,11,9,84.9348,0.00127283,1,32.5221,57.3122,,
5,7,11,0,106.403,0.000525708,1,38.0101,65.9594,,
5,8,11,5,106.674,0.00122412,1,46.2736,57.3122,,
